ROI,Measure,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12,Subject#13,Subject#14,Subject#15,Subject#16,,Average,Standard error
ROI#4,Between_AJ_N,0.515734,-0.197523,0.162522,0.255991,0.969106,-0.063089,-0.535154,-0.682218,0.245370,0.267652,0.108613,-0.197918,0.016472,0.379041,0.148369,0.300843,,0.105863,0.098992
ROI#4,Between_AJ_V,0.508495,-0.124321,0.320150,0.279296,0.996212,-0.111607,-0.489617,-0.703532,0.224028,0.186827,0.199332,-0.130630,0.036648,0.439679,0.103452,0.259472,,0.124618,0.099168
ROI#4,Between_AJ_AV,0.522550,-0.103627,0.398465,0.280428,0.998250,-0.137789,-0.487417,-0.645033,0.201492,0.133674,0.217190,-0.118413,0.015249,0.449370,0.113613,0.293144,,0.133197,0.098471
ROI#4,Between_AJ_FW,0.499104,-0.169427,0.336724,0.224739,0.836977,-0.084629,-0.565586,-0.790394,0.137901,0.280701,0.030751,-0.129808,-0.143114,0.292853,-0.013229,0.354611,,0.068636,0.099298
ROI#4,Between_V_N,0.452554,-0.159610,0.058532,0.308198,1.018865,-0.215177,-0.535248,-0.669149,0.361431,0.333084,0.129086,-0.298295,-0.087607,0.363735,0.127652,0.297899,,0.092872,0.104115
ROI#4,Between_V_AJ,0.508495,-0.124321,0.320150,0.279296,0.996212,-0.111607,-0.489617,-0.703532,0.224028,0.186827,0.199332,-0.130630,0.036648,0.439679,0.103452,0.259472,,0.124618,0.099168
ROI#4,Between_V_AV,0.459716,-0.049242,0.366202,0.378326,1.040226,-0.285982,-0.489669,-0.627201,0.401793,0.182113,0.311816,-0.211431,-0.076072,0.454136,0.101011,0.337546,,0.143331,0.104722
ROI#4,Between_V_FW,0.436953,-0.146784,0.284549,0.343502,0.889505,-0.237781,-0.523459,-0.767198,0.393073,0.331229,0.113864,-0.217049,-0.241419,0.300245,0.025343,0.388115,,0.085793,0.104643
ROI#4,Between_AV_N,0.457030,-0.123890,0.153004,0.303465,1.012814,-0.239786,-0.545025,-0.614583,0.335834,0.267554,0.124198,-0.283674,-0.124133,0.386251,0.125161,0.336200,,0.098151,0.102413
ROI#4,Between_AV_AJ,0.522550,-0.103627,0.398465,0.280428,0.998250,-0.137789,-0.487417,-0.645033,0.201492,0.133674,0.217190,-0.118413,0.015249,0.449370,0.113613,0.293144,,0.133197,0.098471
