ROI#1,Between_Adj_Adv,1.407860,0.897034,1.028059,1.238424,1.164063,1.103134,1.455613,,1.184884,0.075663
ROI#1,Between_Adj_V,1.686662,1.248569,1.217296,1.256891,1.077032,1.226469,1.660793,,1.339102,0.089368
ROI#1,Between_Adv_N,1.585613,0.868994,0.945014,0.939134,0.969309,0.943482,1.456150,,1.101100,0.109924
ROI#1,Between_Adv_Adj,1.407860,0.897034,1.028059,1.238424,1.164063,1.103134,1.455613,,1.184884,0.075663
ROI#1,Between_Adv_V,1.532341,1.090512,0.939253,1.216251,1.112909,0.989053,1.511883,,1.198886,0.089978
ROI#1,Between_V_N,2.037096,1.319801,1.244302,1.055934,1.105561,1.117728,1.725438,,1.372266,0.139885
ROI#1,Between_V_Adj,1.686662,1.248569,1.217296,1.256891,1.077032,1.226469,1.660793,,1.339102,0.089368
ROI#1,Between_V_Adv,1.532341,1.090512,0.939253,1.216251,1.112909,0.989053,1.511883,,1.198886,0.089978
ROI#3,Within_N,1.201557,1.492451,1.086752,1.250853,0.954195,0.808449,1.851495,,1.235108,0.131881
ROI#3,Within_Adj,0.542388,1.430648,1.416789,1.089717,1.052320,0.880475,1.544899,,1.136748,0.134489
ROI#3,Within_Adv,0.524839,1.185729,0.894499,1.072380,0.957622,0.372023,1.483195,,0.927184,0.143855
ROI#3,Within_V,1.218196,1.286697,1.166926,0.830835,0.835232,0.608283,1.602042,,1.078316,0.127839
ROI#3,Between_N_Adj,0.842005,1.148961,1.244743,1.046032,1.011106,0.804509,1.699169,,1.113789,0.113987
ROI#3,Between_N_Adv,0.585892,1.033905,1.073103,0.813427,0.979924,0.523833,1.655502,,0.952226,0.142564
ROI#3,Between_N_V,1.117020,1.375006,1.209581,0.778138,0.882344,0.754299,1.715774,,1.118880,0.132295
ROI#3,Between_Adj_N,0.842005,1.148961,1.244743,1.046032,1.011106,0.804509,1.699169,,1.113789,0.113987
ROI#3,Between_Adj_Adv,0.541995,1.222324,1.161914,0.902629,1.061228,0.579772,1.584797,,1.007808,0.139454
ROI#3,Between_Adj_V,0.908618,1.067858,1.290723,0.852491,0.941814,0.700187,1.600787,,1.051783,0.114921
ROI#3,Between_Adv_N,0.585892,1.033905,1.073103,0.813427,0.979924,0.523833,1.655502,,0.952226,0.142564
ROI#3,Between_Adv_Adj,0.541995,1.222324,1.161914,0.902629,1.061228,0.579772,1.584797,,1.007808,0.139454
ROI#3,Between_Adv_V,0.523592,1.047634,0.975272,0.781389,1.026715,0.510779,1.591507,,0.922413,0.140189
ROI#3,Between_V_N,1.117020,1.375006,1.209581,0.778138,0.882344,0.754299,1.715774,,1.118880,0.132295
ROI#3,Between_V_Adj,0.908618,1.067858,1.290723,0.852491,0.941814,0.700187,1.600787,,1.051783,0.114921
ROI#3,Between_V_Adv,0.523592,1.047634,0.975272,0.781389,1.026715,0.510779,1.591507,,0.922413,0.140189

Within- vs. Between- condition comparisons
ROI,Measure,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,,Average,Standard error,T/F,dof,p
ROI#6,Within_N>0,1.433184,1.288016,0.117918,0.954114,0.624358,0.517748,1.690914,,0.946608,0.211675,4.471997,6,0.002114
ROI#6,Within_Adj>0,0.516087,1.444377,0.474233,1.268362,0.744227,0.997217,1.309375,,0.964840,0.149011,6.474959,6,0.000322
ROI#6,Within_Adv>0,0.040252,1.358459,0.551765,0.873456,1.050027,0.887177,0.772216,,0.790479,0.156324,5.056676,6,0.001159
ROI#6,Within_V>0,1.114553,1.318806,0.246838,0.832529,0.686506,0.775279,1.297322,,0.895976,0.144048,6.219989,6,0.000399
ROI#6,Within_N>Between_N_Adj,0.596318,-0.060326,0.084987,-0.141032,0.041062,-0.179745,0.147645,,0.069844,0.098560,0.708645,6,0.252566
ROI#6,Within_N>Between_N_Adv,0.704245,-0.018589,0.213219,0.164143,-0.004752,-0.129828,0.658485,,0.226703,0.125303,1.809244,6,0.060200
ROI#6,Within_N>Between_N_V,0.466259,0.015591,0.103934,0.095850,0.029384,-0.160968,0.082166,,0.090317,0.071390,1.265112,6,0.126371
ROI#6,Within_Adj>Between_Adj_N,-0.320779,0.096035,0.441301,0.173216,0.160931,0.299724,-0.233894,,0.088076,0.103855,0.848066,6,0.214465
ROI#6,Within_Adj>Between_Adj_Adv,0.093542,-0.064069,0.016182,0.176498,-0.099294,0.014973,0.204955,,0.048969,0.043527,1.125042,6,0.151776
ROI#6,Within_Adj>Between_Adj_V,-0.056317,0.100897,0.160629,0.255061,0.007007,0.133928,-0.226256,,0.053564,0.060416,0.886590,6,0.204713
ROI#6,Within_Adv>Between_Adv_N,-0.688687,0.051853,0.647066,0.083484,0.420917,0.239600,-0.260213,,0.070574,0.166909,0.422830,6,0.343577
ROI#6,Within_Adv>Between_Adv_Adj,-0.382293,-0.149988,0.093715,-0.218408,0.206505,-0.095067,-0.332204,,-0.125391,0.081227,-1.543715,6,0.913198
ROI#6,Within_Adv>Between_Adv_V,-0.511255,0.118079,0.238851,0.018994,0.184343,0.005491,-0.330847,,-0.039478,0.105255,-0.375071,6,0.639746
ROI#6,Within_V>Between_V_N,0.147629,0.046381,0.232854,-0.025736,0.091532,0.096563,-0.311426,,0.039685,0.065917,0.602049,6,0.284589
ROI#6,Within_V>Between_V_Adj,0.542149,-0.024673,-0.066766,-0.180773,-0.050714,-0.088010,-0.238309,,-0.015299,0.097241,-0.157335,6,0.559929
ROI#6,Within_V>Between_V_Adv,0.563046,0.078426,-0.066076,-0.021933,-0.179178,-0.106407,0.194259,,0.066020,0.094953,0.695289,6,0.256444
ROI#6,N~=Adj,[0.596318;-0.320779],[-0.060326;0.096035],[0.084987;0.441301],[-0.141032;0.173216],[0.041062;0.160931],[-0.179745;0.299724],[0.147645;-0.233894],,[0.069844;0.088076],[0.098560;0.103855],1.795420,(2;5),0.258426
