"ROI","average.ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"4","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20161121a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","486","1","2"
"177","214","237","244","206","1","2"
"1","1038","103","1.000000","0.019404","2","1"
"2","1399","139","1.000000","0.618929","2","1"
"3","4863","486","1.000000","0.302703","2","1"
"4","5104","510","1.000000","0.492922","2","1"
"5","888","88","1.000000","0.388754","2","1"
"6","1015","101","1.000000","0.557597","2","1"
"7","3526","352","1.000000","0.338528","2","1"
"8","3381","338","1.000000","0.273808","2","1"
"9","1858","185","1.000000","0.226588","2","1"
"10","1770","177","1.000000","0.568525","2","1"
"11","2147","214","1.000000","0.127041","2","1"
"12","2371","237","1.000000","0.356581","2","1"
"13","2447","244","1.000000","0.500895","2","1"
"14","1345","134","1.000000","0.505904","2","1"
"15","2065","206","1.000000","0.968040","2","1"
"16","2222","222","1.000000","0.382846","2","1"
"17","1615","161","1.000000","-0.102191","2","1"
"18","1958","195","1.000000","0.081966","2","1"
"Weights","","","","","2","1"
"ROI#","Subject#1","Subject#2","Subject#3","","2","1"
"1","1.000000","1.000000","1.000000","","2","1"
"2","1.000000","1.000000","1.000000","","2","1"
"3","1.000000","1.000000","1.000000","","2","1"
"4","1.000000","1.000000","1.000000","","2","1"
"5","1.000000","1.000000","1.000000","","2","1"
"6","1.000000","1.000000","1.000000","","2","1"
"7","1.000000","1.000000","1.000000","","2","1"
"8","1.000000","1.000000","1.000000","","2","1"
"9","1.000000","1.000000","1.000000","","2","1"
"10","1.000000","1.000000","1.000000","","2","1"
"11","1.000000","1.000000","1.000000","","2","1"
"12","1.000000","1.000000","1.000000","","2","1"
"13","1.000000","1.000000","1.000000","","2","1"
"14","1.000000","1.000000","1.000000","","2","1"
"15","1.000000","1.000000","1.000000","","2","1"
"16","1.000000","1.000000","1.000000","","2","1"
"17","1.000000","1.000000","1.000000","","2","1"
"18","1.000000","1.000000","1.000000","","2","1"
"quality control (localizer mask sizes)","","","","","2","1"
"Subject#","Session/Partition#","filename","ROI#1","ROI#4","2","1"
"ROI#10","ROI#11","ROI#12","ROI#13","ROI#16","2","1"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","510","2","1"
"177","214","237","244","222","2","1"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/168_KAN_parametric_11/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","510","2","1"
"177","214","237","244","222","2","1"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20161102a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","510","2","1"
"177","214","237","244","222","2","1"
"4","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20161121a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","510","2","1"
"177","214","237","244","222","2","1"
"1","1038","103","1.000000","0.195286","2","2"
"2","1399","139","1.000000","0.875023","2","2"
"3","4863","486","1.000000","0.246813","2","2"
"4","5104","510","1.000000","0.529443","2","2"
"5","888","88","1.000000","0.258279","2","2"
"6","1015","101","1.000000","0.403795","2","2"
"7","3526","352","1.000000","0.362742","2","2"
"8","3381","338","1.000000","0.391770","2","2"
"9","1858","185","1.000000","0.259971","2","2"
"10","1770","177","1.000000","0.561544","2","2"
"11","2147","214","1.000000","0.224911","2","2"
"12","2371","237","1.000000","0.413760","2","2"
"13","2447","244","1.000000","0.451752","2","2"
"14","1345","134","1.000000","0.432777","2","2"
"15","2065","206","1.000000","1.032893","2","2"
"16","2222","222","1.000000","0.587340","2","2"
"17","1615","161","1.000000","0.201876","2","2"
"18","1958","195","1.000000","0.212184","2","2"
"Weights","","","","","2","2"
"ROI#","Subject#1","Subject#2","Subject#3","","2","2"
"1","1.000000","1.000000","1.000000","","2","2"
"2","1.000000","1.000000","1.000000","","2","2"
"3","1.000000","1.000000","1.000000","","2","2"
"4","1.000000","1.000000","1.000000","","2","2"
"5","1.000000","1.000000","1.000000","","2","2"
"6","1.000000","1.000000","1.000000","","2","2"
"7","1.000000","1.000000","1.000000","","2","2"
"8","1.000000","1.000000","1.000000","","2","2"
"9","1.000000","1.000000","1.000000","","2","2"
"10","1.000000","1.000000","1.000000","","2","2"
"11","1.000000","1.000000","1.000000","","2","2"
"12","1.000000","1.000000","1.000000","","2","2"
"13","1.000000","1.000000","1.000000","","2","2"
"14","1.000000","1.000000","1.000000","","2","2"
"15","1.000000","1.000000","1.000000","","2","2"
"16","1.000000","1.000000","1.000000","","2","2"
"17","1.000000","1.000000","1.000000","","2","2"
"18","1.000000","1.000000","1.000000","","2","2"
"quality control (localizer mask sizes)","","","","","2","2"
"Subject#","Session/Partition#","filename","ROI#1","ROI#5","2","2"
"ROI#10","ROI#11","ROI#12","ROI#13","ROI#17","2","2"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","88","2","2"
"177","214","237","244","161","2","2"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/168_KAN_parametric_11/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","88","2","2"
"177","214","237","244","161","2","2"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20161102a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","88","2","2"
"177","214","237","244","161","2","2"
"4","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20161121a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","88","2","2"
"177","214","237","244","161","2","2"
"1","1038","103","1.000000","0.220090","3","1"
"2","1399","139","1.000000","0.103179","3","1"
"3","4863","486","1.000000","-0.315816","3","1"
"4","5104","510","1.000000","-0.034200","3","1"
"5","888","88","1.000000","0.043823","3","1"
"6","1015","101","1.000000","-0.004219","3","1"
"7","3526","352","1.000000","0.514817","3","1"
"8","3381","338","1.000000","0.518058","3","1"
"9","1858","185","1.000000","-0.045779","3","1"
"10","1770","177","1.000000","0.086389","3","1"
"11","2147","214","1.000000","0.051356","3","1"
"12","2371","237","1.000000","0.190410","3","1"
"13","2447","244","1.000000","0.083720","3","1"
"14","1345","134","1.000000","0.192753","3","1"
"15","2065","206","1.000000","0.091232","3","1"
"16","2222","222","1.000000","0.007926","3","1"
"17","1615","161","1.000000","-0.181861","3","1"
"18","1958","195","1.000000","-0.128075","3","1"
"Weights","","","","","3","1"
"ROI#","Subject#1","Subject#2","Subject#3","","3","1"
"1","1.000000","1.000000","1.000000","","3","1"
"2","1.000000","1.000000","1.000000","","3","1"
"3","1.000000","1.000000","1.000000","","3","1"
"4","1.000000","1.000000","1.000000","","3","1"
"5","1.000000","1.000000","1.000000","","3","1"
"6","1.000000","1.000000","1.000000","","3","1"
"7","1.000000","1.000000","1.000000","","3","1"
"8","1.000000","1.000000","1.000000","","3","1"
"9","1.000000","1.000000","1.000000","","3","1"
"10","1.000000","1.000000","1.000000","","3","1"
"11","1.000000","1.000000","1.000000","","3","1"
"12","1.000000","1.000000","1.000000","","3","1"
"13","1.000000","1.000000","1.000000","","3","1"
"14","1.000000","1.000000","1.000000","","3","1"
"15","1.000000","1.000000","1.000000","","3","1"
"16","1.000000","1.000000","1.000000","","3","1"
"17","1.000000","1.000000","1.000000","","3","1"
"18","1.000000","1.000000","1.000000","","3","1"
"quality control (localizer mask sizes)","","","","","3","1"
"Subject#","Session/Partition#","filename","ROI#1","ROI#6","3","1"
"ROI#10","ROI#11","ROI#12","ROI#13","ROI#18","3","1"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","101","3","1"
"177","214","237","244","195","3","1"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/168_KAN_parametric_11/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","101","3","1"
"177","214","237","244","195","3","1"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20161102a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","101","3","1"
"177","214","237","244","195","3","1"
"4","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20161121a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","101","3","1"
"177","214","237","244","195","3","1"
"1","1038","103","1.000000","0.439779","3","2"
"2","1399","139","1.000000","0.241933","3","2"
"3","4863","486","1.000000","0.180488","3","2"
"4","5104","510","1.000000","0.121506","3","2"
"5","888","88","1.000000","0.331367","3","2"
"6","1015","101","1.000000","0.077098","3","2"
"7","3526","352","1.000000","1.129421","3","2"
"8","3381","338","1.000000","0.635884","3","2"
"9","1858","185","1.000000","0.106098","3","2"
"10","1770","177","1.000000","0.179308","3","2"
"11","2147","214","1.000000","0.393155","3","2"
"12","2371","237","1.000000","0.400851","3","2"
"13","2447","244","1.000000","0.379085","3","2"
"14","1345","134","1.000000","0.360534","3","2"
"15","2065","206","1.000000","0.379465","3","2"
"16","2222","222","1.000000","0.028038","3","2"
"17","1615","161","1.000000","0.074106","3","2"
"18","1958","195","1.000000","0.012634","3","2"
"Weights","","","","","3","2"
"ROI#","Subject#1","Subject#2","Subject#3","","3","2"
"1","1.000000","1.000000","1.000000","","3","2"
"2","1.000000","1.000000","1.000000","","3","2"
"3","1.000000","1.000000","1.000000","","3","2"
"4","1.000000","1.000000","1.000000","","3","2"
"5","1.000000","1.000000","1.000000","","3","2"
"6","1.000000","1.000000","1.000000","","3","2"
"7","1.000000","1.000000","1.000000","","3","2"
"8","1.000000","1.000000","1.000000","","3","2"
"9","1.000000","1.000000","1.000000","","3","2"
"10","1.000000","1.000000","1.000000","","3","2"
"11","1.000000","1.000000","1.000000","","3","2"
"12","1.000000","1.000000","1.000000","","3","2"
"13","1.000000","1.000000","1.000000","","3","2"
"14","1.000000","1.000000","1.000000","","3","2"
"15","1.000000","1.000000","1.000000","","3","2"
"16","1.000000","1.000000","1.000000","","3","2"
"17","1.000000","1.000000","1.000000","","3","2"
"18","1.000000","1.000000","1.000000","","3","2"
"quality control (localizer mask sizes)","","","","","3","2"
"Subject#","Session/Partition#","filename","ROI#1","ROI#7","3","2"
"ROI#10","ROI#11","ROI#12","ROI#13","","3","2"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","352","3","2"
"177","214","237","244","","3","2"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/168_KAN_parametric_11/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","352","3","2"
"177","214","237","244","","3","2"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20161102a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","352","3","2"
"177","214","237","244","","3","2"
"4","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20161121a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","352","3","2"
"177","214","237","244","","3","2"
"1","1038","103","1.000000","0.024188","4","1"
"2","1399","139","1.000000","0.213874","4","1"
"3","4863","486","1.000000","-0.009019","4","1"
"4","5104","510","1.000000","-0.025621","4","1"
"5","888","88","1.000000","0.078629","4","1"
"6","1015","101","1.000000","-0.012983","4","1"
"7","3526","352","1.000000","0.053125","4","1"
"8","3381","338","1.000000","0.045395","4","1"
"9","1858","185","1.000000","0.017401","4","1"
"10","1770","177","1.000000","-0.073454","4","1"
"11","2147","214","1.000000","-0.125878","4","1"
"12","2371","237","1.000000","-0.084121","4","1"
"13","2447","244","1.000000","0.058700","4","1"
"14","1345","134","1.000000","0.109008","4","1"
"15","2065","206","1.000000","-0.024998","4","1"
"16","2222","222","1.000000","0.085054","4","1"
"17","1615","161","1.000000","-0.038858","4","1"
"18","1958","195","1.000000","-0.044693","4","1"
"Weights","","","","","4","1"
"ROI#","Subject#1","Subject#2","Subject#3","","4","1"
"1","1.000000","1.000000","1.000000","","4","1"
"2","1.000000","1.000000","1.000000","","4","1"
"3","1.000000","1.000000","1.000000","","4","1"
"4","1.000000","1.000000","1.000000","","4","1"
"5","1.000000","1.000000","1.000000","","4","1"
"6","1.000000","1.000000","1.000000","","4","1"
"7","1.000000","1.000000","1.000000","","4","1"
"8","1.000000","1.000000","1.000000","","4","1"
"9","1.000000","1.000000","1.000000","","4","1"
"10","1.000000","1.000000","1.000000","","4","1"
"11","1.000000","1.000000","1.000000","","4","1"
"12","1.000000","1.000000","1.000000","","4","1"
"13","1.000000","1.000000","1.000000","","4","1"
"14","1.000000","1.000000","1.000000","","4","1"
"15","1.000000","1.000000","1.000000","","4","1"
"16","1.000000","1.000000","1.000000","","4","1"
"17","1.000000","1.000000","1.000000","","4","1"
"18","1.000000","1.000000","1.000000","","4","1"
"quality control (localizer mask sizes)","","","","","4","1"
"Subject#","Session/Partition#","filename","ROI#1","ROI#8","4","1"
"ROI#10","ROI#11","ROI#12","ROI#13","","4","1"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","338","4","1"
"177","214","237","244","","4","1"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/168_KAN_parametric_11/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","338","4","1"
"177","214","237","244","","4","1"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20161102a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","338","4","1"
"177","214","237","244","","4","1"
"4","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20161121a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","338","4","1"
"177","214","237","244","","4","1"
"1","1038","103","1.000000","0.302624","4","2"
"2","1399","139","1.000000","0.647720","4","2"
"3","4863","486","1.000000","0.424373","4","2"
"4","5104","510","1.000000","0.250494","4","2"
"5","888","88","1.000000","0.131621","4","2"
"6","1015","101","1.000000","0.093536","4","2"
"7","3526","352","1.000000","0.321698","4","2"
"8","3381","338","1.000000","0.191387","4","2"
"9","1858","185","1.000000","0.218374","4","2"
"10","1770","177","1.000000","0.224054","4","2"
"11","2147","214","1.000000","0.178856","4","2"
"12","2371","237","1.000000","0.297908","4","2"
"13","2447","244","1.000000","0.447982","4","2"
"14","1345","134","1.000000","0.473668","4","2"
"15","2065","206","1.000000","0.475702","4","2"
"16","2222","222","1.000000","0.549842","4","2"
"17","1615","161","1.000000","0.106202","4","2"
"18","1958","195","1.000000","0.200765","4","2"
"Weights","","","","","4","2"
"ROI#","Subject#1","Subject#2","Subject#3","","4","2"
"1","1.000000","1.000000","1.000000","","4","2"
"2","1.000000","1.000000","1.000000","","4","2"
"3","1.000000","1.000000","1.000000","","4","2"
"4","1.000000","1.000000","1.000000","","4","2"
"5","1.000000","1.000000","1.000000","","4","2"
"6","1.000000","1.000000","1.000000","","4","2"
"7","1.000000","1.000000","1.000000","","4","2"
"8","1.000000","1.000000","1.000000","","4","2"
"9","1.000000","1.000000","1.000000","","4","2"
"10","1.000000","1.000000","1.000000","","4","2"
"11","1.000000","1.000000","1.000000","","4","2"
"12","1.000000","1.000000","1.000000","","4","2"
"13","1.000000","1.000000","1.000000","","4","2"
"14","1.000000","1.000000","1.000000","","4","2"
"15","1.000000","1.000000","1.000000","","4","2"
"16","1.000000","1.000000","1.000000","","4","2"
"17","1.000000","1.000000","1.000000","","4","2"
"18","1.000000","1.000000","1.000000","","4","2"
"quality control (localizer mask sizes)","","","","","4","2"
"Subject#","Session/Partition#","filename","ROI#1","ROI#9","4","2"
"ROI#10","ROI#11","ROI#12","ROI#13","","4","2"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","185","4","2"
"177","214","237","244","","4","2"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/168_KAN_parametric_11/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","185","4","2"
"177","214","237","244","","4","2"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20161102a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","185","4","2"
"177","214","237","244","","4","2"
"4","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20161121a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","185","4","2"
"177","214","237","244","","4","2"
