Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
,FED_20170823a_3T2,,A,NA,268,268.003075195971,2,2.00017419201322,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
43,FED_20170823a_3T2,,A,7,270,270.003918598988,4,3.99789334900561,Patient,1,passive,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_7.jpg,Patient_passive_7.jpg,,
,FED_20170823a_3T2,,A,NA,274,274.002447342995,2,2.00016403698828,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
44,FED_20170823a_3T2,,A,10,276,276.003254630981,4,3.99851673000376,Agent,1,passive,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_10.jpg,Agent_passive_10.jpg,,
45,FED_20170823a_3T2,,A,20,280,280.002391281974,4,3.99810790401534,Patient,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Patient_active_20.jpg,,
46,FED_20170823a_3T2,,A,11,284,284.001134339982,4,4.00016026900266,Patient,0,active,Kyle Square is shaking Zach Star.,Kyle,Square,Zach,Star,Base_active_11.jpg,Patient_active_11.jpg,,
,FED_20170823a_3T2,,A,NA,288,288.001918459981,4,4.00032013599412,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
47,FED_20170823a_3T2,,A,34,292,292.00285324498,4,3.998996653012,Agent,1,passive,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_34.jpg,Agent_passive_34.jpg,,
48,FED_20170823a_3T2,,A,11,296,296.002480532974,4,3.99857917102054,Agent,0,active,Kyle Square is shaking Zach Star.,Kyle,Square,Zach,Star,Base_active_11.jpg,Agent_active_11.jpg,,
49,FED_20170823a_3T2,,A,25,300,300.001694314997,4,3.99978367899894,Agent,0,active,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_25.jpg,Agent_active_25.jpg,,
,FED_20170823a_3T2,,A,NA,304,304.002099796984,6,6.00066435299232,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
50,FED_20170823a_3T2,,A,5,310,310.003387903998,4,3.99845635698875,Agent,0,active,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star,Base_active_5.jpg,Agent_active_5.jpg,,
,FED_20170823a_3T2,,A,NA,314,314.002463276993,2,2.00045028398745,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
51,FED_20170823a_3T2,,A,25,316,316.003540998994,4,3.99715411200305,Patient,0,active,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_25.jpg,Patient_active_25.jpg,,
52,FED_20170823a_3T2,,A,22,320,320.001334629982,4,3.99894741000026,Agent,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Agent_passive_22.jpg,,
53,FED_20170823a_3T2,,A,34,324,324.000911183975,4,4.00005033900379,Patient,0,active,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square,Base_active_34.jpg,Patient_active_34.jpg,,
